"0000A","AA","ME ID Code and Description","0000A - Annual Estimates Profile"
"0000A","AA","ME ID Description","Annual Estimates Profile"
"0000B","AA","ME ID Code and Description","0000B - Final ME Profiles"
"0000B","AA","ME ID Description","Final ME Profiles"
"MA0RE","AA","MA ID Description","Related Entity Values"
"MANFA","AA","MA ID Description","Non-Financial Asset Values"
"MAEQU","AA","MA ID Description","Equity Values"
"MACFS","AA","MA ID Description","Cash Flow Values"
"MA0RE - ADMIN","AA","MA ID Description","Administered Related Entity Signoff"
"MANFA - ADMIN","AA","MA ID Description","Administered Non-financial Asset Signoff"
"MAEQU - ADMIN","AA","MA ID Description","Administered Equity Signoff"
"MACFS - ADMIN","AA","MA ID Description","Administered Cash Flow Signoff"
"MA0RE - DEPT","AA","MA ID Description","Departmental Related Entity Signoff"
"MANFA - DEPT","AA","MA ID Description","Departmental Non-financial Asset Signoff"
"MAEQU - DEPT","AA","MA ID Description","Departmental Equity Signoff"
"MACFS - DEPT","AA","MA ID Description","Departmental Cash Flow Signoff"
"00641","AS","sys_new meas","M00232"
"00642","AS","sys_new reason","1012"
"00642","AS","sys_new meas","M00256"
"00954","AS","sys_new meas","M00254"
"00954","AS","sys_old meas","M00205"
"00955","AS","sys_new meas","M00248"
"00955","AS","sys_old meas","M00199"
"00973","AS","sys_new meas","M00256"
"00993","AS","sys_new meas","M00232"
"00996","AS","sys_new meas","M00232"
